"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F2","F2 Arousal Level","aroused","composed","smart",0.0625827272727273,0.34349975,-0.280917022727273,0.0625827272727273,0.34349975,"z","in","out",11,40,-0.602136196312869,0.557,13.2120412441017,-1.28716066850944,0.725326623054895,"T-test","two.sided",0.846075949367089,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","active",-0.4929825,0.451039411764706,-0.944021911764706,-0.4929825,0.451039411764706,"z","in","out",4,51,-3.07912642886098,0.0165,7.47067759890174,-1.6598291056545,-0.228214717874911,"T-test","two.sided",0.2475,"ns","toy-directed"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","affectionate",0.497782222222222,0.359805217391304,0.137977004830918,0.497782222222222,0.359805217391304,"z","in","out",9,46,0.270777174895894,0.792,10.8565233059789,-0.985366277794352,1.26132028745619,"T-test","two.sided",0.918461538461538,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","alert",-0.520086666666667,0.492889795918367,-1.01297646258503,-0.520086666666667,0.492889795918367,"z","in","out",6,49,-3.39161560125433,0.00449,13.7378351531651,-1.6547103306356,-0.371242594534472,"T-test","two.sided",0.12216,"ns","toy-directed"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","bright_clever_intelligent_smart_very smart",-0.138150476190476,0.703889411764706,-0.842039887955182,-0.138150476190476,0.703889411764706,"z","in","out",21,34,-2.34880729257592,0.024,39.1906172279911,-1.5670553532619,-0.117024422648465,"T-test","two.sided",0.32,"ns","toy-directed"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","calm",1.660255,0.282158039215686,1.37809696078431,1.660255,0.282158039215686,"z","in","out",4,51,2.97967847604519,0.0385,4.1865711268454,0.11625171174259,2.63994220982604,"T-test","two.sided",0.383076923076923,"ns","not toy-directed"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","charming",1.78638,0.272265882352941,1.51411411764706,1.78638,0.272265882352941,"z","in","out",4,51,5.53239849534246,0.000327,9.2810082281156,0.89784966025871,2.13037857503541,"T-test","two.sided",0.03924,"*","not toy-directed"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","curious",0.6722775,0.359646470588235,0.312631029411765,0.6722775,0.359646470588235,"z","in","out",4,51,0.441656308304328,0.685,3.45581056011159,-1.78098734916264,2.40624940798617,"T-test","two.sided",0.894,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","devoted_loyal",0.11906,0.427204255319149,-0.308144255319149,0.11906,0.427204255319149,"z","in","out",8,47,-0.56488283158231,0.586,9.04200105216833,-1.5412804497154,0.924991939077099,"T-test","two.sided",0.879,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","energetic_exuberant_lively_peppy",-0.111532857142857,0.454412708333333,-0.56594556547619,-0.111532857142857,0.454412708333333,"z","in","out",7,48,-1.02126342453541,0.338,7.65299362586041,-1.85400225824352,0.72211112729114,"T-test","two.sided",0.8,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","friendly",0.0292125,0.480942558139535,-0.451730058139535,0.0292125,0.480942558139535,"z","in","out",12,43,-1.20343345492658,0.242,21.8915009279225,-1.23041879809957,0.326958681820495,"T-test","two.sided",0.784864864864865,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","gentle",0.98905,0.3217166,0.6673334,0.98905,0.3217166,"z","in","out",5,50,0.850721421072564,0.438,4.45798237657764,-1.42513434626021,2.75980114626021,"T-test","two.sided",0.825230769230769,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","loyal",0.318425,0.390214897959184,-0.0717898979591837,0.318425,0.390214897959184,"z","in","out",6,49,-0.110085676066008,0.916,5.92355143573429,-1.67249376183975,1.52891396592139,"T-test","two.sided",0.963103448275862,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","outgoing",-0.08058,0.418694117647059,-0.499274117647059,-0.08058,0.418694117647059,"z","in","out",4,51,-1.17189607828243,0.298,4.62458688123824,-1.62173180825411,0.623183572959994,"T-test","two.sided",0.8,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","playful",1.15145625,0.251477234042553,0.899979015957447,1.15145625,0.251477234042553,"z","in","out",8,47,2.05665053314013,0.0652,10.6125203857851,-0.0674679048080333,1.86742593672293,"T-test","two.sided",0.4812,"ns","neutral"
"F3","F3 Toy-directed Motor Patterns","toy-directed","not toy-directed","smart",-0.0607408333333333,0.506045813953488,-0.566786647286822,-0.0607408333333333,0.506045813953488,"z","in","out",12,43,-1.10874555328738,0.286,14.3777170664456,-1.6604976000781,0.526924305504459,"T-test","two.sided",0.8,"ns","neutral"
"F4","F4 Biddability","biddable","independent","active",0.24519,0.348997592592593,-0.103807592592593,0.24519,0.348997592592593,"z","in","out",4,54,-0.104532946262489,0.923,3.44611417584045,-3.04486855943919,2.837253374254,"T-test","two.sided",0.963103448275862,"ns","neutral"
"F4","F4 Biddability","biddable","independent","affectionate",0.570227777777778,0.299889387755102,0.270338390022676,0.570227777777778,0.299889387755102,"z","in","out",9,49,0.340472000998001,0.741,10.0191534864066,-1.49836922647282,2.03904600651817,"T-test","two.sided",0.894,"ns","neutral"
"F4","F4 Biddability","biddable","independent","alert",0.363656666666667,0.339320961538462,0.0243357051282051,0.363656666666667,0.339320961538462,"z","in","out",6,52,0.0348196920425777,0.973,6.82186148216982,-1.63710405534205,1.68577546559846,"T-test","two.sided",0.98218487394958,"ns","neutral"
"F4","F4 Biddability","biddable","independent","bright_clever_intelligent_smart_very smart",-0.232715217391304,0.719402285714286,-0.95211750310559,-0.232715217391304,0.719402285714286,"z","in","out",23,35,-1.95468155276854,0.0564,48.6998636561245,-1.93112611458852,0.0268911083773351,"T-test","two.sided",0.4512,"ns","neutral"
"F4","F4 Biddability","biddable","independent","calm",1.05012,0.289373148148148,0.760746851851852,1.05012,0.289373148148148,"z","in","out",4,54,0.888037502815604,0.429,3.62560286271145,-1.71779231083935,3.23928601454305,"T-test","two.sided",0.825230769230769,"ns","neutral"
"F4","F4 Biddability","biddable","independent","charming",2.183485,0.205420185185185,1.97806481481481,2.183485,0.205420185185185,"z","in","out",4,54,2.43788431095052,0.0773,3.65959226248029,-0.359800958892649,4.31593058852228,"T-test","two.sided",0.4812,"ns","neutral"
"F4","F4 Biddability","biddable","independent","curious",1.4140175,0.262417777777778,1.15159972222222,1.4140175,0.262417777777778,"z","in","out",4,54,1.07894627724387,0.352,3.36593874850121,-2.04549281684017,4.34869226128461,"T-test","two.sided",0.8,"ns","neutral"
"F4","F4 Biddability","biddable","independent","devoted_loyal",0.18301625,0.36725,-0.18423375,0.18301625,0.36725,"z","in","out",8,50,-0.222401000335114,0.829,8.59859762282618,-2.07159198504382,1.70312448504383,"T-test","two.sided",0.93196261682243,"ns","neutral"
"F4","F4 Biddability","biddable","independent","energetic_exuberant_lively_peppy",-0.566975714285714,0.466577647058824,-1.03355336134454,-0.566975714285714,0.466577647058824,"z","in","out",7,51,-1.19515679180439,0.27,7.18448114686918,-3.06784798754044,1.00074126485136,"T-test","two.sided",0.799024390243902,"ns","neutral"
"F4","F4 Biddability","biddable","independent","friendly",-0.0526908333333333,0.444759130434783,-0.497449963768116,-0.0526908333333333,0.444759130434783,"z","in","out",12,46,-0.974220683969941,0.34,22.79124736557,-1.55426949869531,0.559369571159077,"T-test","two.sided",0.8,"ns","neutral"
"F4","F4 Biddability","biddable","independent","gentle",0.515388,0.325465849056604,0.189922150943396,0.515388,0.325465849056604,"z","in","out",5,53,0.204707623352178,0.846,4.70028412845095,-2.24146841998459,2.62131272187138,"T-test","two.sided",0.935779816513762,"ns","neutral"
"F4","F4 Biddability","biddable","independent","loyal",0.90939,0.276351730769231,0.633038269230769,0.90939,0.276351730769231,"z","in","out",6,52,0.726418948320695,0.495,6.00805452398876,-1.49863190688808,2.76470844534962,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F4","F4 Biddability","biddable","independent","outgoing",1.23184,0.275912407407407,0.955927592592593,1.23184,0.275912407407407,"z","in","out",4,54,1.02167197322225,0.372,3.50323657729207,-1.79378417561015,3.70563936079534,"T-test","two.sided",0.8,"ns","neutral"
"F4","F4 Biddability","biddable","independent","playful",1.27770875,0.1920992,1.08560955,1.27770875,0.1920992,"z","in","out",8,50,1.42574436991952,0.188,8.91969107832227,-0.639239676074902,2.8104587760749,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F4","F4 Biddability","biddable","independent","smart",-0.0806323076923077,0.463885555555556,-0.544517863247863,-0.0806323076923077,0.463885555555556,"z","in","out",13,45,-0.786150562958885,0.443,16.1143443250013,-2.01199880255561,0.922963076059888,"T-test","two.sided",0.825230769230769,"ns","neutral"
